rate,requests,throughput,success,p50_ms,p95_ms,p99_ms,max_ms,avg_cpu_percent,max_rss_mb
20000,1199999,19999.95,1.00000,0.09,2.24,5.15,264.77,33.55,107.93
50000,530635,1963.80,0.22991,543.98,8941.63,10249.82,13858.32,36.99,919.80
100000,574193,3601.26,0.40017,662.69,5182.46,8093.86,10958.50,39.85,1550.48
